FIPS,Name,total_pop,hisp_pop,hisp_perc
19053960200,"Census Tract 9602, Decatur County, Iowa",3778,175,4.6
19053960300,"Census Tract 9603, Decatur County, Iowa",2159,21,1.0
19055950100,"Census Tract 9501, Delaware County, Iowa",3964,66,1.7
19055950200,"Census Tract 9502, Delaware County, Iowa",2858,8,0.3
19055950300,"Census Tract 9503, Delaware County, Iowa",5226,72,1.4
19055950400,"Census Tract 9504, Delaware County, Iowa",5530,27,0.5
19057000200,"Census Tract 2, Des Moines County, Iowa",2716,133,4.9
19057000300,"Census Tract 3, Des Moines County, Iowa",3797,76,2.0
19057000400,"Census Tract 4, Des Moines County, Iowa",4213,371,8.8
19057000500,"Census Tract 5, Des Moines County, Iowa",5109,30,0.6
19057000600,"Census Tract 6, Des Moines County, Iowa",4098,256,6.2
19057000700,"Census Tract 7, Des Moines County, Iowa",2906,14,0.5
19057000800,"Census Tract 8, Des Moines County, Iowa",3198,78,2.4
19057000900,"Census Tract 9, Des Moines County, Iowa",3508,0,0.0
19057001000,"Census Tract 10, Des Moines County, Iowa",4438,76,1.7
19057001100,"Census Tract 11, Des Moines County, Iowa",3660,35,1.0
19057001200,"Census Tract 12, Des Moines County, Iowa",2622,33,1.3
19059450200,"Census Tract 4502, Dickinson County, Iowa",2028,24,1.2
19059450500,"Census Tract 4505, Dickinson County, Iowa",5034,74,1.5
19059450800,"Census Tract 4508, Dickinson County, Iowa",3456,32,0.9
19059451000,"Census Tract 4510, Dickinson County, Iowa",2455,13,0.5
19059451100,"Census Tract 4511, Dickinson County, Iowa",3904,99,2.5
19061000100,"Census Tract 1, Dubuque County, Iowa",2842,209,7.4
19061000300,"Census Tract 3, Dubuque County, Iowa",2020,43,2.1
19061000400,"Census Tract 4, Dubuque County, Iowa",4227,90,2.1
19061000500,"Census Tract 5, Dubuque County, Iowa",3655,241,6.6
19061000600,"Census Tract 6, Dubuque County, Iowa",3270,50,1.5
19061000701,"Census Tract 7.01, Dubuque County, Iowa",3682,120,3.3
19061000702,"Census Tract 7.02, Dubuque County, Iowa",2799,51,1.8
19061000801,"Census Tract 8.01, Dubuque County, Iowa",4342,20,0.5
19061000802,"Census Tract 8.02, Dubuque County, Iowa",3347,100,3.0
19061000900,"Census Tract 9, Dubuque County, Iowa",3988,87,2.2
19061001101,"Census Tract 11.01, Dubuque County, Iowa",3596,52,1.4
19061001102,"Census Tract 11.02, Dubuque County, Iowa",6794,58,0.9
19061001201,"Census Tract 12.01, Dubuque County, Iowa",3858,55,1.4
19061001202,"Census Tract 12.02, Dubuque County, Iowa",1910,49,2.6
19061001204,"Census Tract 12.04, Dubuque County, Iowa",2381,0,0.0
19061001205,"Census Tract 12.05, Dubuque County, Iowa",4385,18,0.4
19061010101,"Census Tract 101.01, Dubuque County, Iowa",1889,26,1.4
19061010103,"Census Tract 101.03, Dubuque County, Iowa",2963,0,0.0
19061010104,"Census Tract 101.04, Dubuque County, Iowa",4654,153,3.3
19061010105,"Census Tract 101.05, Dubuque County, Iowa",3832,36,0.9
19061010201,"Census Tract 102.01, Dubuque County, Iowa",5680,64,1.1
19061010202,"Census Tract 102.02, Dubuque County, Iowa",4424,10,0.2
19061010300,"Census Tract 103, Dubuque County, Iowa",3205,70,2.2
19061010400,"Census Tract 104, Dubuque County, Iowa",3746,96,2.6
19061010500,"Census Tract 105, Dubuque County, Iowa",4476,67,1.5
19061010600,"Census Tract 106, Dubuque County, Iowa",3201,205,6.4
19063070100,"Census Tract 701, Emmet County, Iowa",1966,12,0.6
19063070200,"Census Tract 702, Emmet County, Iowa",1777,24,1.4
19063070300,"Census Tract 703, Emmet County, Iowa",3314,635,19.2
19063070400,"Census Tract 704, Emmet County, Iowa",3011,238,7.9
19065080100,"Census Tract 801, Fayette County, Iowa",2813,4,0.1
19065080200,"Census Tract 802, Fayette County, Iowa",3439,116,3.4
19065080300,"Census Tract 803, Fayette County, Iowa",2470,8,0.3
19065080400,"Census Tract 804, Fayette County, Iowa",2930,133,4.5
19065080500,"Census Tract 805, Fayette County, Iowa",3557,117,3.3
19065080600,"Census Tract 806, Fayette County, Iowa",2424,9,0.4
19065080700,"Census Tract 807, Fayette County, Iowa",3060,39,1.3
19067480100,"Census Tract 4801, Floyd County, Iowa",2905,99,3.4
19067480200,"Census Tract 4802, Floyd County, Iowa",2741,39,1.4
19067480300,"Census Tract 4803, Floyd County, Iowa",2472,3,0.1
19067480400,"Census Tract 4804, Floyd County, Iowa",3154,80,2.5
19067480500,"Census Tract 4805, Floyd County, Iowa",4881,125,2.6
19069360100,"Census Tract 3601, Franklin County, Iowa",3331,109,3.3
19069360200,"Census Tract 3602, Franklin County, Iowa",4699,969,20.6
19069360300,"Census Tract 3603, Franklin County, Iowa",2542,125,4.9
19071970100,"Census Tract 9701, Fremont County, Iowa",2172,11,0.5
19071970200,"Census Tract 9702, Fremont County, Iowa",2746,68,2.5
19071970300,"Census Tract 9703, Fremont County, Iowa",2282,105,4.6
19073080100,"Census Tract 801, Greene County, Iowa",2066,42,2.0
19073080200,"Census Tract 802, Greene County, Iowa",2587,34,1.3
19073080300,"Census Tract 803, Greene County, Iowa",2816,95,3.4
19073080500,"Census Tract 805, Greene County, Iowa",1763,56,3.2
19075960100,"Census Tract 9601, Grundy County, Iowa",4338,87,2.0
19075960200,"Census Tract 9602, Grundy County, Iowa",3081,0,0.0
19075960300,"Census Tract 9603, Grundy County, Iowa",2967,0,0.0
19075960400,"Census Tract 9604, Grundy County, Iowa",2017,54,2.7
19077950100,"Census Tract 9501, Guthrie County, Iowa",4245,104,2.4
19077950200,"Census Tract 9502, Guthrie County, Iowa",2261,40,1.8
19077950300,"Census Tract 9503, Guthrie County, Iowa",4288,78,1.8
19079960100,"Census Tract 9601, Hamilton County, Iowa",1970,21,1.1
19079960200,"Census Tract 9602, Hamilton County, Iowa",3454,344,10.0
19079960300,"Census Tract 9603, Hamilton County, Iowa",3378,150,4.4
19079960400,"Census Tract 9604, Hamilton County, Iowa",4796,273,5.7
19079960500,"Census Tract 9605, Hamilton County, Iowa",1765,6,0.3
19081270100,"Census Tract 2701, Hancock County, Iowa",3828,113,3.0
19081270200,"Census Tract 2702, Hancock County, Iowa",2613,30,1.1
19081270300,"Census Tract 2703, Hancock County, Iowa",2582,139,5.4
19081270400,"Census Tract 2704, Hancock County, Iowa",2152,115,5.3
19083480100,"Census Tract 4801, Hardin County, Iowa",2630,96,3.7
19083480200,"Census Tract 4802, Hardin County, Iowa",2123,265,12.5
19083480300,"Census Tract 4803, Hardin County, Iowa",3804,83,2.2
19083480400,"Census Tract 4804, Hardin County, Iowa",2840,64,2.3
19083480500,"Census Tract 4805, Hardin County, Iowa",2945,121,4.1
19083480600,"Census Tract 4806, Hardin County, Iowa",3064,41,1.3
19085290100,"Census Tract 2901, Harrison County, Iowa",2517,15,0.6
19085290200,"Census Tract 2902, Harrison County, Iowa",3482,65,1.9
19085290300,"Census Tract 2903, Harrison County, Iowa",3043,63,2.1
19085290400,"Census Tract 2904, Harrison County, Iowa",3266,57,1.7
19085290500,"Census Tract 2905, Harrison County, Iowa",2292,0,0.0
19087970100,"Census Tract 9701, Henry County, Iowa",4007,311,7.8
19087970200,"Census Tract 9702, Henry County, Iowa",3147,3,0.1
19087970300,"Census Tract 9703, Henry County, Iowa",4240,179,4.2
19087970400,"Census Tract 9704, Henry County, Iowa",5025,358,7.1
19087970500,"Census Tract 9705, Henry County, Iowa",3778,17,0.4
19089960100,"Census Tract 9601, Howard County, Iowa",3975,134,3.4
19089960200,"Census Tract 9602, Howard County, Iowa",2783,0,0.0
19089960300,"Census Tract 9603, Howard County, Iowa",2771,5,0.2
19091970100,"Census Tract 9701, Humboldt County, Iowa",2276,41,1.8
19091970200,"Census Tract 9702, Humboldt County, Iowa",1825,89,4.9
19091970300,"Census Tract 9703, Humboldt County, Iowa",2892,100,3.5
19091970400,"Census Tract 9704, Humboldt County, Iowa",2738,134,4.9
19093090100,"Census Tract 901, Ida County, Iowa",2493,60,2.4
19093090200,"Census Tract 902, Ida County, Iowa",2302,0,0.0
19093090300,"Census Tract 903, Ida County, Iowa",2290,67,2.9
19095960100,"Census Tract 9601, Iowa County, Iowa",3695,75,2.0
19095960200,"Census Tract 9602, Iowa County, Iowa",3724,187,5.0
19095960300,"Census Tract 9603, Iowa County, Iowa",3398,11,0.3
19095960400,"Census Tract 9604, Iowa County, Iowa",5499,80,1.5
19097950100,"Census Tract 9501, Jackson County, Iowa",2540,0,0.0
19097950200,"Census Tract 9502, Jackson County, Iowa",3524,95,2.7
19097950300,"Census Tract 9503, Jackson County, Iowa",3448,38,1.1
19097950400,"Census Tract 9504, Jackson County, Iowa",3768,20,0.5
19097950500,"Census Tract 9505, Jackson County, Iowa",4188,64,1.5
19097950600,"Census Tract 9506, Jackson County, Iowa",2188,35,1.6
19099040100,"Census Tract 401, Jasper County, Iowa",3838,64,1.7
19099040200,"Census Tract 402, Jasper County, Iowa",3616,154,4.3
19099040300,"Census Tract 403, Jasper County, Iowa",2443,14,0.6
19099040400,"Census Tract 404, Jasper County, Iowa",4898,18,0.4
19099040500,"Census Tract 405, Jasper County, Iowa",5476,62,1.1
19099040600,"Census Tract 406, Jasper County, Iowa",2779,0,0.0
19099040700,"Census Tract 407, Jasper County, Iowa",5052,61,1.2
19099040800,"Census Tract 408, Jasper County, Iowa",5586,215,3.8
19099040900,"Census Tract 409, Jasper County, Iowa",3027,6,0.2
19101090100,"Census Tract 901, Jefferson County, Iowa",3140,7,0.2
19101090200,"Census Tract 902, Jefferson County, Iowa",3927,40,1.0
19101090300,"Census Tract 903, Jefferson County, Iowa",5275,333,6.3
19101090400,"Census Tract 904, Jefferson County, Iowa",4760,81,1.7
19103000100,"Census Tract 1, Johnson County, Iowa",6813,527,7.7
19103000200,"Census Tract 2, Johnson County, Iowa",2620,139,5.3
19103000301,"Census Tract 3.01, Johnson County, Iowa",9729,456,4.7
19103000302,"Census Tract 3.02, Johnson County, Iowa",5613,508,9.1
19103000400,"Census Tract 4, Johnson County, Iowa",7198,72,1.0
19103000500,"Census Tract 5, Johnson County, Iowa",7695,347,4.5
19103000600,"Census Tract 6, Johnson County, Iowa",3432,119,3.5
19103001100,"Census Tract 11, Johnson County, Iowa",3969,66,1.7
19103001200,"Census Tract 12, Johnson County, Iowa",1929,66,3.4
19103001300,"Census Tract 13, Johnson County, Iowa",3095,109,3.5
19103001400,"Census Tract 14, Johnson County, Iowa",4622,179,3.9
19103001500,"Census Tract 15, Johnson County, Iowa",2699,95,3.5
19103001600,"Census Tract 16, Johnson County, Iowa",7170,163,2.3
19103001700,"Census Tract 17, Johnson County, Iowa",3037,30,1.0
19103001801,"Census Tract 18.01, Johnson County, Iowa",5324,967,18.2
19103001802,"Census Tract 18.02, Johnson County, Iowa",3794,538,14.2
19103002100,"Census Tract 21, Johnson County, Iowa",4014,235,5.9
